方法,平均绝对相关系数,成对归一化互信息,时间协方差非对角项,平均绝对超额峰度
混合信号,0.00114493144823503,0.020656474228890206,0.07899114938031436,0.3487150205058125
FastICA,2.121993938593073e-16,0.012022578279373905,0.0033812029712726455,1.1302827635256396
AMUSE,2.9069092811932457e-16,0.011950189596532775,0.0032439608122747255,1.129891963233689
